input size; n_qb Qiskit without regression bug; n_gates Qiskit without regression bug; n_cx_gates Qiskitwithout regression bug;  n_qb Unqomp; n_gates Unqomp ; n_cx_gates Uncomp; n_qb Qiskit with regression bug; n_gates Qiskit with regression bug ; n_cx_gates Qiskit with regression bug
3 ; 5 ; 68 ; 24 ; 6 ; 40 ; 14 ; 5 ; 88 ; 40
4 ; 7 ; 104 ; 36 ; 8 ; 58 ; 20 ; 7 ; 184 ; 88
5 ; 9 ; 140 ; 48 ; 10 ; 76 ; 26 ; 9 ; 376 ; 184
6 ; 11 ; 176 ; 60 ; 12 ; 94 ; 32 ; 11 ; 760 ; 376
7 ; 13 ; 212 ; 72 ; 14 ; 112 ; 38 ; 13 ; 1528 ; 760
8 ; 15 ; 248 ; 84 ; 16 ; 130 ; 44 ; 15 ; 3064 ; 1528
9 ; 17 ; 284 ; 96 ; 18 ; 148 ; 50 ; 17 ; 6136 ; 3064
10 ; 19 ; 320 ; 108 ; 20 ; 166 ; 56 ; 19 ; 12280 ; 6136
11 ; 21 ; 356 ; 120 ; 22 ; 184 ; 62 ; 21 ; 24568 ; 12280
12 ; 23 ; 392 ; 132 ; 24 ; 202 ; 68 ; 23 ; 49144 ; 24568
13 ; 25 ; 428 ; 144 ; 26 ; 220 ; 74 ; 25 ; 98296 ; 49144
14 ; 27 ; 464 ; 156 ; 28 ; 238 ; 80 ; 27 ; 196600 ; 98296
15 ; 29 ; 500 ; 168 ; 30 ; 256 ; 86 ; 0 ; 0 ; 0
16 ; 31 ; 536 ; 180 ; 32 ; 274 ; 92 ; 0 ; 0 ; 0
17 ; 33 ; 572 ; 192 ; 34 ; 292 ; 98 ; 0 ; 0 ; 0
18 ; 35 ; 608 ; 204 ; 36 ; 310 ; 104 ; 0 ; 0 ; 0
19 ; 37 ; 644 ; 216 ; 38 ; 328 ; 110 ; 0 ; 0 ; 0
20 ; 39 ; 680 ; 228 ; 40 ; 346 ; 116 ; 0 ; 0 ; 0
21 ; 41 ; 716 ; 240 ; 42 ; 364 ; 122 ; 0 ; 0 ; 0
22 ; 43 ; 752 ; 252 ; 44 ; 382 ; 128 ; 0 ; 0 ; 0
23 ; 45 ; 788 ; 264 ; 46 ; 400 ; 134 ; 0 ; 0 ; 0
24 ; 47 ; 824 ; 276 ; 48 ; 418 ; 140 ; 0 ; 0 ; 0
25 ; 49 ; 860 ; 288 ; 50 ; 436 ; 146 ; 0 ; 0 ; 0
26 ; 51 ; 896 ; 300 ; 52 ; 454 ; 152 ; 0 ; 0 ; 0
27 ; 53 ; 932 ; 312 ; 54 ; 472 ; 158 ; 0 ; 0 ; 0
28 ; 55 ; 968 ; 324 ; 56 ; 490 ; 164 ; 0 ; 0 ; 0
29 ; 57 ; 1004 ; 336 ; 58 ; 508 ; 170 ; 0 ; 0 ; 0
30 ; 59 ; 1040 ; 348 ; 60 ; 526 ; 176 ; 0 ; 0 ; 0
31 ; 61 ; 1076 ; 360 ; 62 ; 544 ; 182 ; 0 ; 0 ; 0
32 ; 63 ; 1112 ; 372 ; 64 ; 562 ; 188 ; 0 ; 0 ; 0
33 ; 65 ; 1148 ; 384 ; 66 ; 580 ; 194 ; 0 ; 0 ; 0
34 ; 67 ; 1184 ; 396 ; 68 ; 598 ; 200 ; 0 ; 0 ; 0
35 ; 69 ; 1220 ; 408 ; 70 ; 616 ; 206 ; 0 ; 0 ; 0
36 ; 71 ; 1256 ; 420 ; 72 ; 634 ; 212 ; 0 ; 0 ; 0
37 ; 73 ; 1292 ; 432 ; 74 ; 652 ; 218 ; 0 ; 0 ; 0
38 ; 75 ; 1328 ; 444 ; 76 ; 670 ; 224 ; 0 ; 0 ; 0
39 ; 77 ; 1364 ; 456 ; 78 ; 688 ; 230 ; 0 ; 0 ; 0
