input size; n_qb Qiskit; n_gates Qiskit; n_cx_gates Qiskit; n_qb Unqomp; n_gates Unqomp ; n_cx_gates Uncomp
4 ; 19 ; 3728 ; 1406 ; 9 ; 2520 ; 934
5 ; 21 ; 4996 ; 1846 ; 11 ; 3246 ; 1176
6 ; 23 ; 6294 ; 2286 ; 13 ; 3972 ; 1418
7 ; 25 ; 7592 ; 2726 ; 15 ; 4698 ; 1660
8 ; 27 ; 8890 ; 3166 ; 17 ; 5424 ; 1902
9 ; 29 ; 10188 ; 3606 ; 19 ; 6150 ; 2144
10 ; 31 ; 11486 ; 4046 ; 21 ; 6876 ; 2386
11 ; 33 ; 12784 ; 4486 ; 23 ; 7602 ; 2628
12 ; 35 ; 14082 ; 4926 ; 25 ; 8328 ; 2870
13 ; 37 ; 15380 ; 5366 ; 27 ; 9054 ; 3112
