n_breakpoints; n_qb Qiskit; n_gates Qiskit; n_cx_gates Qiskit;  n_qb Unqomp; n_gates Unqomp ; n_cx_gates Uncomp
2 ; 26 ; 2608 ; 896 ; 25 ; 1538 ; 522
3 ; 27 ; 3894 ; 1346 ; 25 ; 2298 ; 784
4 ; 28 ; 5176 ; 1792 ; 25 ; 3056 ; 1044
5 ; 29 ; 6462 ; 2242 ; 25 ; 3816 ; 1306
6 ; 30 ; 7744 ; 2688 ; 25 ; 4574 ; 1566
7 ; 31 ; 9010 ; 3138 ; 25 ; 5324 ; 1828
8 ; 32 ; 10272 ; 3584 ; 25 ; 6072 ; 2088
9 ; 33 ; 11558 ; 4034 ; 25 ; 6832 ; 2350
10 ; 34 ; 12820 ; 4480 ; 25 ; 7580 ; 2610
11 ; 35 ; 14082 ; 4926 ; 25 ; 8328 ; 2870
