input size; n_qb Qiskit without regression bug; n_gates Qiskit without regression bug; n_cx_gates Qiskitwithout regression bug;  n_qb Unqomp; n_gates Unqomp ; n_cx_gates Uncomp; n_qb Qiskit with regression bug; n_gates Qiskit with regression bug ; n_cx_gates Qiskit with regression bug
3 ; 9 ; 701 ; 266 ; 9 ; 491 ; 182 ; 9 ; 701 ; 266
4 ; 10 ; 3081 ; 1106 ; 10 ; 1891 ; 672 ; 10 ; 3781 ; 1666
5 ; 11 ; 6721 ; 2366 ; 11 ; 3921 ; 1372 ; 11 ; 10221 ; 4746
6 ; 12 ; 9661 ; 3374 ; 12 ; 5517 ; 1918 ; 12 ; 18117 ; 8610
7 ; 13 ; 10893 ; 3794 ; 13 ; 6175 ; 2142 ; 13 ; 23437 ; 11242
8 ; 14 ; 11105 ; 3866 ; 14 ; 6287 ; 2180 ; 14 ; 24965 ; 12002
9 ; 15 ; 11105 ; 3866 ; 14 ; 6287 ; 2180 ; 15 ; 24965 ; 12002
10 ; 16 ; 11105 ; 3866 ; 14 ; 6287 ; 2180 ; 16 ; 24965 ; 12002
11 ; 17 ; 11105 ; 3866 ; 14 ; 6287 ; 2180 ; 17 ; 24965 ; 12002
12 ; 18 ; 11105 ; 3866 ; 14 ; 6287 ; 2180 ; 18 ; 24965 ; 12002
13 ; 19 ; 11105 ; 3866 ; 14 ; 6287 ; 2180 ; 19 ; 24965 ; 12002
14 ; 20 ; 11105 ; 3866 ; 14 ; 6287 ; 2180 ; 20 ; 24965 ; 12002
