rec_depth; n_qb Qiskit; n_gates Qiskit; n_cx_gates Qiskit;  n_qb Unqomp; n_gates Unqomp ; n_cx_gates Uncomp
2 ; 18 ; 18 ; 15 ; 13 ; 18 ; 15
3 ; 24 ; 42 ; 35 ; 18 ; 30 ; 25
4 ; 30 ; 90 ; 75 ; 22 ; 42 ; 35
5 ; 36 ; 186 ; 155 ; 25 ; 54 ; 45
6 ; 42 ; 378 ; 315 ; 27 ; 66 ; 55
7 ; 48 ; 762 ; 635 ; 28 ; 78 ; 65
8 ; 54 ; 1530 ; 1275 ; 28 ; 90 ; 75
9 ; 60 ; 3066 ; 2555 ; 28 ; 102 ; 85
10 ; 66 ; 6138 ; 5115 ; 28 ; 114 ; 95
11 ; 72 ; 12282 ; 10235 ; 28 ; 126 ; 105
12 ; 78 ; 24570 ; 20475 ; 28 ; 138 ; 115
13 ; 84 ; 49146 ; 40955 ; 28 ; 150 ; 125
14 ; 90 ; 98298 ; 81915 ; 28 ; 162 ; 135
